Date,Name,Reviews,Language,ISO,Key phrases,Sum of Score sentiment,Sentiment
2/2/20,Tatiana,"Мы приехали поздно вечером. Нас встретила сестра Роберто Франческа - очень приятная и дружелюбная. Все нам показала, рассказала, передала ключи. Квартира просторная, чистая, с большой террасой с очуменным видом на горы. Просто дух захватывает. Сначала не нашли регулировку обогревателя и было прохладно. Потом включили на более теплый режим и стало комфортно и уютно! Мы были всем довольны! Спасибо!!",Russian,ru,"сестра Роберто Франческа, террасой с очуменным, Квартира просторная, горы, регулировку обогревателя, теплый режим, ключи, дух",66.40%,Neutral
1/6/20,Alessandro,"appartamento comodo, ben riscaldato per l'inverno, pulito.",Italian,it,"inverno, appartamento comodo",92.30%,Positive
1/1/20,Angelica,"Io ed il mio ragazzo ci siamo trovati benissimo nell'appartamento di Roberto. Pulito, luminoso, accogliente, in ottima posizione per visitare la zona e dotato di tutto il necessario per il soggiorno. Sua mamma ci ha accolti con grande gentilezza. Consigliamo assolutamente il soggiorno!",Italian,it,"soggiorno, ottima posizione, zona, mamma, grande gentilezza, appartamento di Roberto, ragazzo",72.70%,Neutral
12/27/19,Elisabet,"Apartamento moderno en un paisaje impresionante. Hemos pasado las navidades allí y nos encontramos con unos cuantos toques de decoración navideña que nos hizo sentir en un ambiente más acogedor de lo que esperábamos. Además, tanto el baño como en la cocina están perfectamente equipados. Las vistas son increíbles, permiten apreciar el esplendor de las montañas de Riva. Tanto Roberto como su familia son encantadores. Un lugar perfecto para desconectar de la ciudad cuando no pasas las fiestas en familia.",Spanish,es,"familia, esplendor, ciudad, Apartamento moderno, paisaje impresionante, cocina, toques de decoración navideña, montañas de Riva, lugar perfecto, Roberto, fiestas, ambiente, baño, vistas, navidades",62.50%,Neutral
12/9/19,Guest,"L'appartamento è in zona Sant'Alessandro, al secondo piano di una bella palazzina. Comodo anche il parcheggio fronte casa. Appartamento luminoso, curato e ben equipaggiato. L'accoglienza è stata ottima!",Italian,it,"Appartamento luminoso, piano, zona, Alessandro, parcheggio fronte casa, bella palazzina, accoglienza",84.50%,Positive
11/25/19,Mark,Roberto's apartment is excellent and spotlessly clean. It is very quiet and about a 30 min flat walk to the old part of Riva del Garda. The cooking facilities are good and we spent a lot of time in the apartment. The terrace is lovely.,English,en,"Roberto's apartment, flat walk, Riva, lot of time, cooking facilities, Garda, terrace",98.70%,Positive
11/16/19,Gabriele,La casa di Roberto è molto accogliente e la vista sulle montagne che circondano Riva è davvero molto bella. Risposte puntuali e grande cordialità sono il punto di forza di una soluzione che si presta molto bene sia a chi cerca un luogo per le vacanze che per soggiorni di lavoro.,Italian,it,"vista sulle montagne, grande cordialità, Riva, luogo, forza, Risposte puntuali, casa di Roberto, vacanze, soggiorni, soluzione",69.60%,Neutral
11/6/19,Polina,"Из этого дома совершенно не хотелось уезжать, всё было прекрасно. Хочется отметить состояние и оснащённость кухни - рай для любителя готовить самостоятельно 🖤 такое редко встретишь. Идеальный, удобный, тёплый дом. Очень благодарны за приём, спасибо, Роберто!",Russian,ru,"состояние и оснащённость кухни - рай для любителя, тёплый дом, приём, Роберто, дома",78.60%,Neutral
10/29/19,Anastasia,"The apartment is located in a very nice, quiet neighborhood, it was also very clean and we really enjoyed the modern style of it, not to mention the amazing view from the balcony! We would definitely recommend this place! Thank you Roberto!",English,en,"quiet neighborhood, amazing view, balcony, modern style, apartment, place, Roberto",100.00%,Positive
10/26/19,Julia,"It was our second time staying at Robertos place and once more it und was fantastic. The apartment is very spacy, with a huge balcony, absolutely clean and equipped with everything you need to spend a relaxed time in Riva! We recommend this place for 100%!!",English,en,"relaxed time, Robertos place, huge balcony, und, Riva, apartment",100.00%,Positive
10/12/19,Anne,"Abseits der Touristenmassen kann man in der sauberen Wohnung und besonders auf der großen Terrasse nach einer Besichtigungstour gut relaxen. Wir sind zum See ca. 20 Minuten und zur Innenstadt gut 30 Minuten gelaufen. Beim Haus sind ausreichend Parkplätze. Nachts ist es in der Nachbarschaft sehr ruhig, offene Fenster sind kein Problem. Roberto kümmert sich vorbildlich, ist stets erreichbar und antwortet umgehend.",German,de,"Minuten, Touristenmassen, offene Fenster, Innenstadt, sauberen Wohnung, Terrasse, Nachbarschaft, Problem, See, Haus, Parkplätze, Besichtigungstour, Abseits, Roberto",66.10%,Neutral
10/5/19,Henning,"Eine sehr schöne und saubere Wohnung, die genau der Beschreibung entspricht. Das Highlight ist natürlich die schöne Dachterrasse. Ein idealer Ausgangspunkt, um Riva und den nördlichen Gardasee zu erkunden, der Weg zum Hafen ist zu Fuß allerdings etwas weit. Wir haben uns in der Wohnung sehr wohl gefühlt.",German,de,"schöne Dachterrasse, saubere Wohnung, Riva, nördlichen Gardasee, Weg, idealer Ausgangspunkt, Highlight, Beschreibung, Hafen",70.80%,Neutral
9/20/19,Ahmed,Thanks Roberto for your hosting. It was a great staying there. The apartment was very clean and modern. I liked the apartment and the city too. Certainly will be repeated Best regards Ahmed,English,en,"apartment, Thanks Roberto, hosting, Best regards Ahmed, great staying, city",100.00%,Positive
9/17/19,Manfred,"Robertos Wohnung ist wunderbar hell, ruhig gelegen und verfügt über einen großen Balkon mit tollem Bluck auf die Dolomiten. In der Ausstattung fehlt nichts, man fühlt sich ""zu Hause"". Der Weg in die Stadt dauert fußläufiger ca. 45 Minuten. Wir empfehlen, die Strecke mit einem Rad zurückzulegen, geht schneller. Das Radwegenetz ist toll ausgebaut. Wir kommen gern wieder.",German,de,"Stadt, fußläufiger, tollem Bluck, Balkon, Dolomiten, Robertos Wohnung, hell, Minuten, Strecke, schneller, Ausstattung, Hause, Radwegenetz",67.20%,Neutral
9/13/19,Birgit,Tolle Ferienwohnung in ruhiger Lage und schöner Umgebung. Nette Gastgeber die außerdem perfekt deutsch sprechen.,German,de,"ruhiger Lage, Tolle Ferienwohnung, schöner Umgebung, Nette Gastgeber, perfekt deutsch sprechen",100.00%,Positive
9/4/19,Karina,Трудно забыть это место — все было прекрасно!,Russian,ru,,64.30%,Neutral
9/2/19,Eyal,"Had great time at the apartment, great view, lot of parking sites, very clean and cosy. Had great communication with robberto which gave us lot of tips about the event in Riva.",English,en,"great view, great time, great communication, lot of tips, lot of parking sites, apartment, robberto, event, Riva",99.60%,Positive
8/31/19,Dmitriy,"Alles hat wunderbar funktioniert. Unser Urlaub wurde durch nichts getrübt, gerne wieder.",German,de,Urlaub,70.10%,Neutral
8/24/19,Richard,"Airbnb at its very best. A wonderful house, each suite it’s own area. Beautifully clean, very well lit, spacious, well decorated, plenty of amenities, well maintained, friendly and very helpful host - all absolutely perfect. The jewel in the crown - the balcony with plenty of sun and a great view. Without a doubt would return to if we visit this area of the world again.",English,en,"area, helpful host, suite, wonderful house, jewel, crown, balcony, amenities, great view, world, doubt, Airbnb",100.00%,Positive
8/21/19,Daniel,Eine Super Unterkunft absolut zu empfehlen. Alles Bestens uns super Sauber...,German,de,Super Unterkunft,100.00%,Positive
8/12/19,Tobias,"Sehr schöne und moderne Unterkunft! Die Lage ist auch top, knapp 20min zu Fuß zum See und ruhig gelegen. Uns hat es sehr gut gefallen, wir kommen gerne wieder!",German,de,"knapp, moderne Unterkunft, Lage, top, See, gefallen",81.30%,Positive
8/10/19,Anna,"Die schönste, die gemütlichste, die sauberste, die ruhigste und die modernste Unterkunft mit freundlichen und Lieben Vermietern die ich bisher über Airbnb hatte. Wir waren zum zweiten Mal da und nächstes Jahr auf jeden Fall wieder.",German,de,"modernste Unterkunft, Lieben Vermietern, Airbnb, Mal, Fall",77.80%,Neutral
8/4/19,Antonie,We loved the place. It looked great and was very nice. The terrace with the sun shield was great and we spent most time there. It also made it possible to stay there during the rain.,English,en,"terrace, shield, rain, time, place",99.60%,Positive
8/2/19,Arenda,"Heel mooi appartement, prijs kwaliteit verhouding is goed. Erg modern appartement. Alleen een beetje verlopen naar het meer. Er is voldoende parkeer gelegenheid.",Dutch,nl,"Heel mooi appartement, modern appartement, prijs kwaliteit verhouding, beetje, meer, gelegenheid",82.00%,Positive
7/29/19,Nicholas,"We stayed in this apartment for 4 weeks in July '19 and had a brilliant time. The main room of the apartment has a very well stocked kitchen with everything that we needed, even down to juicer, coffee machine, loads of pots and pans, everything. There is a small lounge area at the end with a TV and windows to the front and side, the sofa can be a sofa bed which is comfy enough as a bed. We didn't watch TV, but the wifi is good enough to stream video. The main room is large and very bright with two windows and three doors onto the terrace, although there are excellent shutters if you want it dark as well. There is aircon in the lounge that works really well on those especially hot days, although the weather in Riva is a lot milder than further south, more like 28c-33c Max most days. You do get a lot of thunderstorms though as it is in the mountains. By far my favourite part of the apartment is the huge terrace that looks out down the valley, you can't see the lake as it is probably 1.5km away but it is fabulous view. They have a flexible sail over some of the terrace that keeps the sun off and means you can use it come rain or shine. There are mosquitoes in Riva (like everywhere in Italy) so take some spray and use it in the evening. The bedroom is nice and big, with two singles pushed together as a double, you could have it as either, there is a moderate amount of storage although it was not an issue. The bathroom comes off the lounge and has a lovely dual head shower which works well as well as everything else you expect. Plenty of hot water. As a location, you probably need a car, it is 15 minutes to the lakeside where there are shops and restaurants, but another 25 mins from there into town. Alternatively you could walk into Riva on the roads in about 35 mins. There are buses from nearby but they are not frequent. There are two good local restaurants within a couple of hundred metres and a very useful little shop that is open from 7.30am-7pm (ish) and has excellent local bread of lots of varieties for breakfast on the terrace. They also sell milk, juice, drinks pasta etc but no fresh fruit or veg. There are two good supermarkets within a few miles. Riva is such a brilliant place, the best place to stay on Lake Garda, it has walks and cycling, sailing and windsurfing, canoeing on the lakes and in the river. You can walk on the flat in the valley or up the mountains. Day trips to Venice, Milan, Verona are possible if you don't mind a drive and the closer towns of Trento, Rovereto are worth a trip. The lake towns Malcesine etc can be visited by boat which is a fabulous day out. Roberto and family were all charming and very welcoming, they shared produce from the garden and leant us bikes, everything we needed for a perfect stay.",English,en,"Riva, apartment, huge terrace, good local restaurants, brilliant place, windows, good supermarkets, lake towns Malcesine, Lake Garda, TV, main room, hot days, sofa bed, fabulous day, valley, mins, mountains, excellent local bread, small lounge area, best place, excellent shutters, c Max, Day trips, lot milder, lot of thunderstorms, brilliant time, fabulous view, hot water, perfect stay, closer towns of Trento, drinks pasta, Venice, Milan, metres, end, varieties, weather, useful little shop, Verona, Rovereto, drive, couple, lovely dual head shower, coffee machine, fresh fruit, singles, family, pots, milk, lakeside, breakfast, boat, south, wifi, doors, storage, garden, car, spray, windsurfing, produce, minutes, bedroom, Roberto, cycling, juicer, pans, shops, stocked kitchen, miles, video, Italy, flexible sail, roads, rain, shine, issue, river, bikes, location, evening, double, bathroom, aircon, weeks, mosquitoes, buses",100.00%,Positive
6/30/19,Robert,"We haven't met Roberto in person, but his father greeted us in perfect German, showed us everything and gave us valuable recommendations for our stay. Communication with Roberto was fast and easy. The apartment is super nice, but we spend most of our time on the breathtaking sun terrace anyways! Strongly recommended!",English,en,"Roberto, father, Communication, apartment, time, terrace, valuable recommendations, stay, perfect German, person",100.00%,Positive
6/26/19,Egidijus,Easy check in and check out. Sparkling clean apartments. All amenities that are required. Mountain view from the huge terrace. Also very spacious.,English,en,"Easy check, Mountain view, huge terrace, clean apartments, amenities",100.00%,Positive
6/20/19,Nadine,"Wir hatten eine super Zeit in der Ferienwohnung. Über die Klimaanlage waren wir positiv überrascht und schätzten diese sehr. Wir wurden super nett empfangen und mein Sohn durfte im Garten spielen, toben und Trampolin springen. Sogar in den Genuß von selbst angeboten Salat sind wir gekommen. Super fand ich auch, dass Kaffee, Filter und Salz, Pfeffer, Essig und Öl schon in der Küche waren. Das erleichtert den ersten Einkauf schon Mal vor Ort. Die Lage ist ein wenig Abseits vom Trubel, so dass wir uns schön erholen konnten. Nur leider viel zu kurz. Wir kommen nächstes Jahr gerne wieder.",German,de,"super, Essig, Salz, Pfeffer, Sohn, Garten spielen, Öl, toben, Filter, Kaffee, Trampolin, empfangen, Genuß, angeboten Salat, Abseits, Trubel, Küche, Mal, Ort, Ferienwohnung, Klimaanlage, erholen",60.10%,Neutral
6/15/19,Stefanie,"Haben uns sehr wohl gefühlt, schöne Wohnung, gute Lage und sehr herzliche Gastgeber.",German,de,"Lage, schöne Wohnung, herzliche Gastgeber",100.00%,Positive
6/9/19,Andrea,"Well situated accommodation a bit further away from the centre. What makes up for it is pure tranquility and lovely surrounding. We stayed in the apartment on the first floor with amazing large balcony where we enjoyed breakfast on the daily basis and an occasional glass of wine in the evening. The view from the balcony is spectacular! The apartment was very clean, spacious, modern. I can highly recommend it. Garden around the house is suitable for families with children. We were very satisfied and we will definitely return again. Not to forget to mention Graziana (Roberto’s sister) who welcomed us on arrival and made us feel like at home.",English,en,"apartment, amazing large balcony, breakfast, occasional glass of wine, daily basis, house, floor, pure tranquility, lovely surrounding, families, children, evening, Roberto’s sister, Graziana, Garden, view, situated accommodation, arrival, centre, home",100.00%,Positive
5/21/19,Saara,Perfect place close to the centre to stay with an amazing views from the balcony! Roberto was very kind and helpful and there were everything we needed.,English,en,"centre, amazing views, Perfect place close, Roberto, balcony",100.00%,Positive
5/18/19,Monique,"Nice apartment wirt lovely balcony in a quiet, residential area.",English,en,"Nice apartment wirt lovely balcony, residential area",97.10%,Positive
5/12/19,Yuri,"Excellent fully equipped home with huge terrace with beautiful view on mountains. Very friendly owners, good quite location (only birds singing songs :) Adequate pricing. Overall, highly recommended.",English,en,"huge terrace, equipped home, beautiful view, birds, location, songs, mountains, Adequate pricing, friendly owners",100.00%,Positive
5/8/19,Teresa,"Wunderschöne Terasse, Einzigartiger Ausblick, schön Stilvoll eingerichtet, Sehr Sauber, alles was man braucht vorhanden",German,de,"Wunderschöne Terasse, schön Stilvoll",100.00%,Positive
5/5/19,Galina,"Very nice place. I strongly recommend. The house is located at quiet street. A bit away from city center, but just 15 minutes walk from Blue Garden trade center and 20 minutes from the Lake. The apartment is very clean. The balcony is huge. I mean it - you could dance at the balcony. There are decent windows ( with double packets) in place - good for cold weather and protection from outside sound. Fast response heating. Amazing view on the mountains from 3 sides of the house - a rare thing. Small internal garden used by our kid. Also Roberto and his family were very helpful.",English,en,"house, balcony, minutes walk, Blue Garden trade center, place - good, city center, nice place, Small internal garden, cold weather, protection, double packets, outside sound, mountains, sides, decent windows, kid, Amazing view, rare thing, Fast response heating, Roberto, family, quiet street, Lake, apartment",100.00%,Positive
5/1/19,Marcin,Perfect place with perfect tarrace in perfect location with perfect host. Highly recommend it!,English,en,"perfect tarrace, perfect location, Perfect place, perfect host",100.00%,Positive
4/27/19,Maria,Bellissimo appartamento a 5min dal centro di Riva del Garda. Grande terrazzo con bellissima e rilassante vista. Attrezzato di lettino e seggiolone per gli ospiti più piccoli. Pulizia impeccabile. Grande cordialità del host.,Italian,it,"Grande terrazzo, Grande cordialità, seggiolone, ospiti, centro di Riva, Garda, Bellissimo appartamento, lettino, host, Pulizia impeccabile",79.40%,Neutral
4/25/19,Louise,"We absolutely loved our stay at Roberto's! Excellent location- not directly in Riva centre, but in a very attractive area closeby with it's own church and feel, meanwhile within an easy 25 min walk. The private terrace of the flat is large and with beautiful views, and the flat itself is spacious, sparkling clean and well-equipped for cooking. Parking was easy and Roberto's family gave us a very warm welcome. Thank you!",English,en,"flat, Roberto's family, beautiful views, attractive area closeby, Riva centre, church, private terrace, Parking, Excellent location, warm welcome, cooking, walk, stay",100.00%,Positive
4/23/19,John,"Super tolle Wohnung, sehr netter Vermieter, wie seine Familie, die mit uns den Check-in vorgenommen hat. Sehr zu empfehlen***** ...und wir kommen wieder...",German,de,"netter Vermieter, Super tolle Wohnung, Familie, Check, empfehlen",93.50%,Positive
4/19/19,Kirsten,"It was really amazing. It was super cozy. They even had olive oil, sugar, pepper salt,... Very well equipped kitchen. The balcony is soo nice. The area is quite and beautiful. Within 10 min by foot you can be in the city center. Riva bike shop was excellent. We went biking for 2 days, one more would have been perfect. We totally loved it . The hosts were so lovely. Thank you!!!",English,en,"pepper salt, olive oil, sugar, Riva bike shop, equipped kitchen, balcony, soo nice, city center, area, hosts, super cozy, foot, days",100.00%,Positive
4/4/19,Alisa,"Beautifully designed apartment with lots of light and a terrace of your dreams. Spotlessly clean bathroom and kitchen. It felt like home being there. I’ve met Roberto and his sister, amazing hosts that are easy to communicate with and also willing to help a bit extra. The only thing is that it is a bit far from city center, about 20-25 minutes of walking, but I think it is mentioned in the profile so it wasn’t a surprise for us.",English,en,"light, sister, amazing hosts, Roberto, clean bathroom, kitchen, designed apartment, terrace, dreams, minutes of walking, city center, profile, surprise, home, thing",100.00%,Positive
3/30/19,Katerina,"Its a perfect place to explore Garda lake.everything was super clean, service is amazing!i would definitely come back again",English,en,"Garda lake, service, perfect place",99.20%,Positive
3/27/19,Sarah,"Roberto's place was very very lovely! We enjoyed sitting on the patio each morning and having breakfast with a great view! House was clean with all the needed amenities, including in the kitchen. The neighborhood was very quiet. We didn't meet Roberto, but his sister checked us in and his parents (who live downstairs) were very welcoming! Highly recommend staying here. It is a 15ish minute walk to the lake and about 30 minute walk to the historical center of town. We were able to use the family laundry machine and that was very handy too!",English,en,"ish minute walk, lake, breakfast, family laundry machine, historical center of town, needed amenities, morning, great view, sister, Roberto's place, patio, House, kitchen, neighborhood, parents",100.00%,Positive
3/17/19,Simon,"Super Unterkunft, sauber, groß, nette Gastleute, schneller Check-In 👍",German,de,"nette Gastleute, schneller Check, Super Unterkunft",100.00%,Positive
3/3/19,Claudia,"Appartamento carino, comodo, pulito con un terrazzo splendido. Padroni di casa gentilissimi e disponibilissimi. Posso solo consigliarlo.",Italian,it,"Padroni di casa gentilissimi, terrazzo splendido, Appartamento carino, consigliarlo",100.00%,Positive
2/22/19,Thomas,"Sehr saubere und schöne Unterkunft mit tollem Balkon und vielen Details bei der Ausstattung. Sehr freundliche und hilfreiche Begrüssung. Wir kommen gerne mal wieder, wenn wir am oberen Gardasee eine Unterkunft suchen. Auch unsere Hündin hat sich sehr wohl gefühlt und die Freiheit im umzäunten Garten genossen.",German,de,"schöne Unterkunft, Unterkunft suchen, tollem Balkon, Details, oberen Gardasee, hilfreiche Begrüssung, Freiheit, umzäunten Garten, Ausstattung, mal",71.30%,Neutral
2/20/19,Georgi,"Spacious and stylish, Roberto's place was a little haven for us in Riva del Garda. We could walk to most places within 30 minutes and the apartment was very comfortable. An added bonus for us was the host's garden with a trampoline for our 3 year old. The welcome drink, snacks and coffee were a lovely surprise too. We would definitely return!",English,en,"snacks, coffee, little haven, Roberto's place, trampoline, host's garden, minutes, apartment, Riva, lovely surprise, welcome drink, added bonus, year old, places",100.00%,Positive
1/3/19,Newshynebyelena,Tranquillità e pulizia ! Vista fantastica,Italian,it,"Tranquillità, pulizia, Vista fantastica",97.70%,Positive
12/30/18,Fabio,"Eravamo io e mia moglie, siamo stati accolti calorosamente, abbiamo anche trovato un prosecco di benvenuto. L'appartamento è molto bello, luminoso, bellissima la terrazza. Roberto e sua madre sono stati sempre gentili e disponibili. Estremamente soddisfatti!",Italian,it,"madre, terrazza, appartamento, moglie, prosecco di benvenuto, Roberto",77.00%,Neutral
12/26/18,Krzysztof,Appartamento veramente bello è comodo. Grande zona giorno e una terrazza molto bella. Posizione leggermente distante dal centro di riva (2km) ma in una localita molto Tranquilla. Molto pulita e host davvero disponibili. Noi abbiamo soggiornato con 2 labrador nel periodo di natale. Tutto perfetto,Italian,it,"terrazza, Grande zona giorno, centro di riva, Posizione, Appartamento, bello, host, labrador, periodo di natale, localita",71.70%,Neutral
11/18/18,Luigi,"Casa stupenda, siamo andati per stare un weekend , un luogo giusto per rilassarsi molto tranquillo e silenzioso, Roberto molto gentile , e disponibile. Ci hanno accolto i suoi genitori anche loro gentili e disponibili per ogni cosa!",Italian,it,"Roberto, luogo giusto, genitori, weekend, Casa stupenda",77.00%,Neutral
11/12/18,Cesare,"L'appartamento ampio, pulito e molto ordinato. Roberto è stato gentilissimo e disponibile. Grazie.",Italian,it,"appartamento ampio, Roberto, Grazie",100.00%,Positive
11/1/18,Moritz,"Es waren wunderschöne Tage in einem wunderschönen Appartment, können wir nur weiterempfehlen!",German,de,wunderschönen Appartment,88.70%,Positive
10/20/18,Julia,"Robertos house is a beautiful place, very very nice renovated, very clean and very spacious. It is in a nice quiet area and in walking distance to downtown Riva. Right around the corner is a little grocery store, where you can get what you need for breakfast to start your day on the huge balcony. The whole apartment is equipped with everything you need, deck chairs, clothes horse, coffee and filter, olive oil, maps of the area, books, really everything! And if you forgot something at home like we forgot the charger, Roberto helps you out immediately. The car can be parked right in front of the house and mountainbikes find a safe and secured place in the basement. We met several family members and they all were so kind, friendly, helpful and nice, so we felt welcome from the very beginning! Thank you!! We had a great time there and we are looking forward to come back for our next mountainbike vacation!",English,en,"nice quiet area, beautiful place, secured place, Robertos house, coffee, filter, walking distance, clothes horse, olive oil, maps, deck chairs, mountainbikes, downtown Riva, day, corner, little grocery store, basement, charger, huge balcony, books, family members, great time, mountainbike vacation, home, beginning, breakfast, apartment, car",100.00%,Positive
10/16/18,Barbora,"The flat is just wonderful, the view from terace every morning is the best start of the day. It is in quite location, not in the noisy center, but still easy to reach the night life when desired. If we come again to Garda, Roberto´s flat will be the first choice.",English,en,"s flat, terace, best start, morning, view, noisy center, night life, Garda, Roberto, location",99.90%,Positive
10/10/18,Sabine,"Ein zweites Mal in Riva, was ein schönes Fleckchen, mild , sonnig doch nicht zu heiß, genau richtig, um tiefenentspannt auf Robertos großartigem Balkon im Liegestuhl zu liegen, dem Gesang der vielen Vögel zu lauschen, auf Olivenbäume, Palmen und Zitrusfrüchte zu schauen und die riesigen Berge zu betrachten . Die dicken Riesen sind und schon richtig ans Herz gewachsen. Diesmal hatten wir unsere Räder dabei. Wir sind ganz normale Radler und haben viele tolle Strecken für uns gefunden. Am Gebirgsflüsschen entlang, im Anblick der gewaltigen Felsen und entlang an Weinfeldern... da kann man die Seele baumeln lassen. Danach haben wir oft gekocht und da ist einfach alles da, was man braucht. Wir haben auch ein zweites Mal hier noch längst nicht alles gesehen. Ein guter Grund uns wiederzukommen . Danke sagen Sabine und Jürgen",German,de,"Zitrusfrüchte, schauen, Liegestuhl, Olivenbäume, tiefenentspannt, Robertos großartigem Balkon, gewaltigen Felsen, Weinfeldern, Anblick, Danke sagen Sabine, Jürgen, normale Radler, tolle Strecken, riesigen Berge, Palmen, Riva, schönes Fleckchen, Seele, Vögel, Gesang, Gebirgsflüsschen, dicken Riesen, Herz, lassen, Grund, Räder",57.60%,Negative
9/25/18,Maja,"Robert's apartment is huge a very bright and comfortable place with an amazing terrace. His lovely parents warmly welcomed me, his Dad even speaks some German! With a bike you are at the lake and in the centre of Riva in only 5 minutes which makes this place a perfect base station for your stay at the Lago di Garda. Highly recommended!",English,en,"comfortable place, stay, perfect base station, minutes, amazing terrace, lake, centre of Riva, Lago, Robert's apartment, Dad, Garda, lovely parents, German",100.00%,Positive
9/21/18,Gert,"Superschönes Appartment mit sehr guter, gehobener Ausstattung, traumhafte Terrasse mit Ausblick, sehr guter Vermieter",German,de,"gehobener Ausstattung, Ausblick, traumhafte Terrasse, Superschönes Appartment, Vermieter",99.10%,Positive
9/16/18,Roland,"Die Unterkunft liegt schön und ruhig im alten Ortskern unterhalb der romantischen Villa Lutti im Ortsteil Alessandro. Ein Alimentari ist in der Nähe, die Backwaren dort sind aber für deutsche Bäckereikunden unzumutbar. Roberto und seine Eltern sind tolle Gastgeber und sprechen richtig gut Deutsch. Die Wohnung im 1926 errichteten Haus ist großzügig, sehr sauber, sehr schön hergerichtet, vor allem das Bad ist wirklich klasse. Eine richtig große Terrasse ist perfekt und lässt neben einem schönen Blick in die Umgebung auch den wundervollen Garten überblicken, in dem unter anderem Palmen, Olivenbäume und Granatäpfel wachsen. Das Zentrum ist zu Fuß in ca. 20 Minuten zu erreichen, der Strand in 10 Minuten. Wer am nördlichen Gardasee schöne Tage verbringen will, ist hier gut aufgehoben.",German,de,"Minuten, romantischen Villa Lutti, tolle Gastgeber, alten Ortskern, Umgebung, Eltern, sprechen, Ortsteil Alessandro, anderem Palmen, schönen Blick, Backwaren, perfekt, Olivenbäume, Granatäpfel, wundervollen Garten, Roberto, erreichen, Strand, Nähe, Wohnung, errichteten Haus, nördlichen Gardasee schöne, deutsche Bäckereikunden, Bad, klasse, Alimentari, Terrasse",58.30%,Negative
9/14/18,Anna,Wir verbrachten 11 Nächte in dem Apartment von Roberto und fühlten uns dort sehr wohl. Alles war nahezu perfekt! Wir kommen sehr gerne wieder :)),German,de,"Nächte, Apartment, Roberto, perfekt",88.50%,Positive
9/2/18,Andreas,"Beautiful, sparkling clean apartment with everything you need and just 10 minutes by foot from the lake. Check-in was a breeze and Roberto was always reachable. The apartment has a very comfortable bed and is very stylish. Thanks for everything, a truly great stay.",English,en,"clean apartment, breeze, Roberto, comfortable bed, minutes, foot, lake, Check-in, great stay, Thanks",100.00%,Positive
8/31/18,Konstantinos,Wir sind mit 2 Kindern angereist( 1 und 3). Es gibt zwar nur ein Schlafzimmer aber das war überhaupt kein Problem da es ein Reisebett für die kleine und ein Klappbett für den Großen gab. Unser Bett war sehr bequem. Die Wohnung war sauber und hell. Das Highlight der Wohnung ist der Große Balkon mit dem echt schönen Ausblick auf dem Berg. Roberto war immer hilfsbereit und hat sehr schnell auf unsere nachrichten geantwortet. Die Küche war gut ausgestattet und es gab alles was man so braucht. Wir können die Unterkunft von Roberto nur empfehlen und wir werden wieder kommen.,German,de,"Roberto, Highlight der Wohnung, Balkon, echt schönen Ausblick, Berg, Problem, Reisebett, Unterkunft, empfehlen, Schlafzimmer, Klappbett, Kindern, nachrichten, Küche",60.00%,Neutral
8/5/18,Bente,The appartment is very nice and very cleab. Everything was good.,English,en,"appartment, cleab",99.30%,Positive
8/1/18,Sandra,"Roberto and his family are wonderful and generous hosts. Check in was easy and communication throughout our entire stay was fast and easy. The apartment is large enough for 4-5 people. The Master bedroom offers a letto doppio (king size) and a twin pull out chair which was pretty comfortable for an adult. The living room offers a queen sized pull out sofa which was fairly comfortable. The living room/sleeping area is separated by waist hight storage cubicles which offers some privacy. The bathroom is brand new and sports the newest style with a large shower. The kitchen offered basically everything you need to prep a simple meal. The best part of the place is definitely the terrazza - large enough for a big dining table and 4 large lounge chairs. The sun sail offers shade during the hot summer months. Our kids were welcomed to play in the very large and luscious garden - we even got some fresh veggies and herbs form the family garden. The garden is beautiful but beware of the mosquitos. The view from the terrazza: overlooking the garden and part of the village. You can not see the lake but get a nice view of the surrounding mountains. From the apartment to the lake its about 10-15 minutes walk, downtown Riva 30-40 minutes. There is a tiny store close by where you can get bread, milk and a news paper. The next grocery store is about a 5 minutes with the car. The car can be parked on the premises (entirely fenced in) and bikes can be stored indoors. The internet was spotty on some days, but when it worked it worked very well. There is no air-condition (2 fans are provided) but during our stay in late July the nights cooled down enough to offer a refreshing breeze. The apartment is beautiful and sparkling clean with absolutely wonderful hosts. If you don't mind being outside of Riva or have a bike or a car than this is the place for you - quite and relaxing with a personal touch.",English,en,"terrazza - large, large shower, family garden, car, apartment, luscious garden, large lounge chairs, minutes walk, wonderful hosts, living room, lake, place, entire stay, nice view, downtown Riva, generous hosts, grocery store, tiny store close, big dining table, letto doppio, area, king size, waist hight storage cubicles, bread, shade, communication, newest style, fresh veggies, herbs, hot summer months, Master bedroom, milk, news paper, twin, sail, privacy, surrounding mountains, queen, internet, days, sofa, nights, Roberto, personal touch, simple meal, refreshing breeze, bathroom, adult, mosquitos, premises, village, people, kids, bikes, fans, kitchen",100.00%,Positive
7/10/18,Taina,"Todella ihana asunto ja tunsin itseni tervetulleeksi. Oma rauha, viihtyisä ympäristö. Vahva suositus ☺️",Finnish,fi,"rauha, viihtyisä ympäristö, Vahva suositus, ihana asunto",100.00%,Positive
